flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE0537,AIRBUS A319,2018-04-16,06:35,VIGO,VGO,1,Salida prevista a las 06:35,11,15,Lluvia Débil,06 - 07,3,2018-04-16,07:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 07:50,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:20
AEA7311,EMBRAER ERJ-195,2018-04-16,08:50,VIGO,VGO,1,Salida prevista a las 08:50,11,15,Lluvia Débil,01 - 03,3,2018-04-16,10:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 10:00,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:30
IBE0531,AIRBUS A319,2018-04-16,09:25,VIGO,VGO,1,Salida prevista a las 09:25,11,15,Lluvia Débil,06 - 07,5,2018-04-16,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 10:40,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:34
RYR6320,BOEING 737-800 WINGLETS,2018-04-15,15:20,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 15:33,14,22,Nubes Altas,B65 - B71,S24,2018-04-15,16:50,VALLADOLID,VLL,1,El vuelo ha aterrizado a las 17:02,6,16,Chubascos Dispersos,01,2,2018-04-15 18:48:21
VLG1584,32A,2018-04-15,18:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 18:42,14,22,Nubes Altas,501 - 514,B40,2018-04-15,20:05,VALLADOLID,VLL,1,Llegada prevista a las 20:05,6,16,Chubascos Dispersos,01,1,2018-04-15 18:48:30
VLG1584,AIRBUS A320,2018-04-16,10:00,BARCELONA-EL PRAT,BCN,T1,Salida prevista a las 10:00,14,22,Nubes Altas,501 - 514, - ,2018-04-16,11:25,VALLADOLID,VLL,-,Llegada prevista a las 11:25,6,16,Chubascos Dispersos,-, - ,2018-04-15 18:48:32
AEA2649,BOEING 737-800 WINGLETS,2018-04-16,15:15,MALAGA-COSTA DEL SOL,AGP,3,Salida prevista a las 15:15,14,23,Despejado,342 - 344,D48,2018-04-16,16:45,VALLADOLID,VLL,-,Llegada prevista a las 16:45,6,16,Chubascos Dispersos,-, - ,2018-04-15 18:48:33
RYR6320,BOEING 737-800 WINGLETS,2018-04-16,15:20,BARCELONA-EL PRAT,BCN,T2 B,Salida prevista a las 15:20,14,22,Nubes Altas,B65 - B71, - ,2018-04-16,16:50,VALLADOLID,VLL,-,Llegada prevista a las 16:50,6,16,Chubascos Dispersos,-, - ,2018-04-15 18:48:35
IBE0557,AIRBUS A319,2018-04-15,17:45,SANTANDER-SEVE BALLESTEROS,SDR,N,El vuelo ha despegado a las 17:45,12,16,Chubascos Dispersos,8 - 8,2,2018-04-15,19:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 18:35,7,17,Abertura De Claros,10,14,2018-04-15 18:48:14
VLG1591,AIRBUS A320,2018-04-15,17:55,SANTANDER-SEVE BALLESTEROS,SDR,N,Salida prevista a las 19:15,12,16,Chubascos Dispersos,7 - ,4,2018-04-15,19:10,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 19:10,14,22,Nubes Altas,T1_G,07,2018-04-15 18:48:16
