flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE0514,AIRBUS A319,2018-04-13,07:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:30,6,14,Chubascos Dispersos,810 - 859,H28,2018-04-13,08:45,A CORUÑA,LCG,-,El vuelo ha aterrizado a las 08:46,10,15,Chubascos Dispersos,S1,2,2018-04-13 10:34:06
IBE0531,AIRBUS A319,2018-04-13,09:25,VIGO,VGO,1,El vuelo ha despegado a las 09:22,6,15,Chubascos Dispersos,06 - 07,5,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:31,6,14,Chubascos Dispersos,10,14,2018-04-13 10:55:12
CPA1870,BOMBARDIER CRJ-1000,2018-04-13,09:40,VALENCIA,VLC,1,El vuelo ha despegado a las 09:39,11,21,Nubosidad Variable,1 - 4,R55,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:24,6,14,Chubascos Dispersos,10,07,2018-04-13 10:56:04
QTR6567,CANADAIR CRJ-900,2018-04-13,10:20,VALENCIA,VLC,1,El vuelo ha despegado a las 10:44,11,21,Nubosidad Variable,1 - 4,R58,2018-04-13,11:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 11:29,6,14,Chubascos Dispersos,10,19,2018-04-13 10:56:08
IBE0479,AIRBUS A321,2018-04-13,09:20,ASTURIAS,OVD,1,El vuelo ha despegado a las 09:32,8,14,Lluvia,1 - 3,8,2018-04-13,10:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:33,6,14,Chubascos Dispersos,10,11,2018-04-13 10:55:11
IBS3877,AIRBUS A320,2018-04-13,09:15,SANTIAGO,SCQ,T,El vuelo ha despegado a las 09:20,10,15,Chubascos Dispersos,5 - 8,3,2018-04-13,10:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:29,6,14,Chubascos Dispersos,10,16,2018-04-13 10:55:15
VLG2114,32B,2018-04-13,09:45,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 09:48,8,16,Chubascos Dispersos,307 - 311,D44,2018-04-13,11:20,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 11:10,12,17,Lluvia Moderada,T1_G,02,2018-04-13 10:56:13
VLG3935,AIRBUS A320,2018-04-13,08:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 08:36,12,17,Lluvia,058 - 060,D88,2018-04-13,09:45,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:35,11,18,Nubosidad Variable,NT1,10A,2018-04-13 10:55:54
HTY222,AWH,2018-04-13,09:15,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 09:14,8,16,Chubascos Dispersos,370 - ,D47,2018-04-13,09:40,CEUTA,JCU,-,El vuelo ha aterrizado a las 09:43,11,17,Lluvia,-, - ,2018-04-13 10:56:10
IBS3947,AIRBUS A320,2018-04-13,09:05,SEVILLA,SVQ,1,El vuelo ha despegado a las 09:09,8,17,Lluvia,M18 - M20,1,2018-04-13,10:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:12,6,14,Chubascos Dispersos,10,12,2018-04-13 10:55:11
VLG7310,AIRBUS A320,2018-04-13,07:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:38,12,17,Lluvia Moderada,403 - 403,A17,2018-04-13,08:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 09:03,6,14,Chubascos Dispersos,10,14,2018-04-13 10:57:40
IBS3913,32A,2018-04-13,09:20,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 09:25,12,17,Lluvia,054 - 055,D92,2018-04-13,10:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,18,2018-04-13 10:59:15
IBE8511,CANADAIR CRJ-900,2018-04-13,09:30,JEREZ DE LA FRONTERA,XRY,T,El vuelo ha despegado a las 09:28,5,15,Lluvia,9 - 10,2,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:35,6,14,Chubascos Dispersos,10,08,2018-04-13 10:55:11
VLG1702,32A,2018-04-13,07:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:43,12,17,Lluvia Moderada,501 - 514,A05,2018-04-13,09:20,VIGO,VGO,1,El vuelo ha aterrizado a las 09:28,6,15,Chubascos Dispersos,S1,3,2018-04-13 10:56:11
IBB605,ATR-72,2018-04-13,07:30,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:30,17,22,Nubosidad Variable,21 - 26,2,2018-04-13,08:00,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:03,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:55:54
IBB309,ATR-72,2018-04-13,07:20,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:22,16,21,Cubierto De Nubes Altas Y Medias,103 - 108,A07,2018-04-13,08:10,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:12,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:55:55
IBB414,ATR-42/72,2018-04-13,07:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:06,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,08:00,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 07:51,16,22,Nubosidad Variable,A,14,2018-04-13 10:55:16
CNF803,ATR-72,2018-04-13,07:40,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:40,16,21,Cubierto De Nubes Altas Y Medias,116 - 116,A13,2018-04-13,08:20,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 08:14,16,22,Nubosidad Variable,A,13,2018-04-13 10:55:17
CNF412,ATR-72,2018-04-13,07:50,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:52,17,22,Nubosidad Variable,13 - 13,1,2018-04-13,08:20,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:22,16,21,Cubierto De Nubes Altas Y Medias,LLNT,2,2018-04-13 10:55:11
IBB607,ATR-42/72,2018-04-13,08:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 08:02,17,22,Nubosidad Variable,21 - 26,4A,2018-04-13,08:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:30,16,21,Cubierto De Nubes Altas Y Medias,LLNT,4,2018-04-13 10:57:43
IBE0478,AIRBUS A321,2018-04-13,07:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:53,6,14,Chubascos Dispersos,810 - 859,M35,2018-04-13,08:40,ASTURIAS,OVD,1,El vuelo ha aterrizado a las 08:58,8,14,Lluvia,SC,3,2018-04-13 10:57:11
VLG9010,AIRBUS A320,2018-04-13,09:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:12,12,17,Lluvia Moderada,403 - 403,A04,2018-04-13,10:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:31,6,14,Chubascos Dispersos,10,14,2018-04-13 10:56:51
AEA5035,ATR-72,2018-04-13,07:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 07:39,6,14,Chubascos Dispersos,505 - 520,D59,2018-04-13,08:40,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 08:56,8,16,Chubascos Dispersos,3,37,2018-04-13 10:57:55
VLG2115,32B,2018-04-13,07:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:23,12,17,Lluvia Moderada,501 - 514,B40,2018-04-13,09:00,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 08:58,8,16,Chubascos Dispersos,3,36,2018-04-13 10:57:57
IBK5830,BOEING 737-800 WINGLETS,2018-04-13,06:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 05:55,16,21,Cubierto De Nubes Altas Y Medias,343 - 346,C23,2018-04-13,09:15,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 09:09,8,16,Chubascos Dispersos,3,37,2018-04-13 10:57:58
RYR2913,BOEING 737-800 WINGLETS,2018-04-13,06:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 06:04,6,14,Chubascos Dispersos,357 - 360,C31,2018-04-13,08:15,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 07:56,17,22,Nubosidad Variable,A,A4,2018-04-13 10:57:01
IBE8931,CANADAIR CRJ-200,2018-04-13,08:40,SEVILLA,SVQ,1,El vuelo ha despegado a las 08:35,8,17,Lluvia,M18 - M20,K2,2018-04-13,09:35,ALMERIA,LEI,1,El vuelo ha aterrizado a las 09:19,8,17,Chubascos Dispersos,1,1,2018-04-13 10:59:48
AEA2001,AIRBUS A330-200,2018-04-13,07:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 07:51,6,14,Chubascos Dispersos,505 - 520,D56,2018-04-13,08:50,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:07,12,17,Lluvia Moderada,T1_G,03,2018-04-13 11:00:48
VLG1572,AIRBUS A320,2018-04-13,07:30,ASTURIAS,OVD,1,El vuelo ha despegado a las 07:33,8,14,Lluvia,4 - 5,7,2018-04-13,08:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 08:58,12,17,Lluvia Moderada,T1_G,07,2018-04-13 11:00:49
VLG7460,32A,2018-04-13,07:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:48,6,14,Chubascos Dispersos,760 - 763,J52,2018-04-13,09:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:03,12,17,Lluvia Moderada,T1_G,15,2018-04-13 11:00:52
VLG1439,32A,2018-04-13,08:00,BILBAO,BIO,O,El vuelo ha despegado a las 07:57,7,17,Lluvia,10 - 13,6,2018-04-13,09:10,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 08:58,12,17,Lluvia Moderada,T1_G,08,2018-04-13 11:03:07
AEA1702,ATR-72,2018-04-13,08:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 08:40,12,17,Lluvia,086 - 091,B30,2018-04-13,09:20,IBIZA,IBZ,1,El vuelo ha aterrizado a las 09:23,13,17,Lluvia Débil,02,01,2018-04-13 10:59:47
RYR6362,BOEING 737-800 WINGLETS,2018-04-13,08:00,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 08:03,12,17,Lluvia Moderada,B65 - B71,R11,2018-04-13,09:00,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 08:57,12,17,Lluvia,NT,18,2018-04-13 11:00:09
AEA6007,BOEING 737-800 WINGLETS,2018-04-13,08:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 08:36,12,17,Lluvia Moderada,712 - 714,B32,2018-04-13,09:25,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 09:24,12,17,Lluvia,NT,11,2018-04-13 11:01:20
AEA4025,ATR-72,2018-04-13,08:35,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 08:33,11,18,Nubosidad Variable,90 - 91,C42,2018-04-13,09:45,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 09:35,12,17,Lluvia,NT,12,2018-04-13 11:03:34
VLG1421,32B,2018-04-13,08:55,BILBAO,BIO,O,El vuelo ha despegado a las 09:08,7,17,Lluvia,10 - 13,1,2018-04-13,10:05,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 10:11,12,17,Lluvia Moderada,T1_G,08,2018-04-13 10:56:12
IBE0423,AIRBUS A321,2018-04-13,09:25,BILBAO,BIO,O,El vuelo ha despegado a las 09:23,7,17,Lluvia,16 - 18,3,2018-04-13,10:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:22,6,14,Chubascos Dispersos,10,11,2018-04-13 10:57:15
CNF703,ATR-72,2018-04-13,07:25,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:18,16,21,Cubierto De Nubes Altas Y Medias,116 - 116,A11,2018-04-13,08:10,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 08:02,17,22,Nubosidad Variable,4,C2,2018-04-13 11:00:59
VLG3256,AIRBUS A320,2018-04-13,07:00,SEVILLA,SVQ,1,El vuelo ha despegado a las 07:00,8,17,Lluvia,M26 - M33,8,2018-04-13,08:15,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 08:04,17,22,Nubosidad Variable,1,4,2018-04-13 11:00:13
IBB604,ATR-42/72,2018-04-13,08:00,LA PALMA,SPC,N,El vuelo ha despegado a las 08:00,16,21,Cubierto De Nubes Altas Y Medias,01 - 02,5,2018-04-13,08:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 08:34,17,22,Nubosidad Variable,1,3,2018-04-13 11:00:15
VLG2216,32B,2018-04-13,07:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:50,12,17,Lluvia Moderada,501 - 514,B26,2018-04-13,09:20,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 09:21,8,17,Lluvia,B,2,2018-04-13 10:59:44
IBS9522,AIRBUS A320,2018-04-13,07:55,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 07:56,12,17,Lluvia,054 - 055,D91,2018-04-13,09:25,BILBAO,BIO,O,El vuelo ha aterrizado a las 09:17,7,17,Lluvia,N,4,2018-04-13 11:05:17
IBE8353,CANADAIR CRJ-200,2018-04-13,08:30,SANTIAGO,SCQ,T,El vuelo ha despegado a las 08:40,10,15,Chubascos Dispersos,5 - 8,5,2018-04-13,09:30,BILBAO,BIO,O,El vuelo ha aterrizado a las 09:31,7,17,Lluvia,N,1,2018-04-13 11:05:18
IBB106,BOMBARDIER CRJ-1000,2018-04-13,07:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:33,17,22,Nubosidad Variable,21 - 26,2,2018-04-13,07:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 08:04,16,21,Cubierto De Nubes Altas Y Medias,01,11,2018-04-13 11:00:40
IBE8330,CANADAIR CRJ-200,2018-04-13,09:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:11,6,14,Chubascos Dispersos,810 - 859,K80,2018-04-13,10:15,BADAJOZ,BJZ,1,El vuelo ha aterrizado a las 10:05,6,16,Chubascos Dispersos,01,1,2018-04-13 11:40:51
VLG9460,AIRBUS A320,2018-04-13,09:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:59,6,14,Chubascos Dispersos,760 - 763,J52,2018-04-13,11:10,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 11:13,12,17,Lluvia Moderada,T1_G,15,2018-04-13 11:41:03
HTY134,AWH,2018-04-13,10:00,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha despegado a las 10:03,9,16,Chubascos Dispersos, - , - ,2018-04-13,10:10,CEUTA,JCU,-,El vuelo ha aterrizado a las 10:12,11,17,Lluvia,-, - ,2018-04-13 11:41:05
HTY133,AWH,2018-04-13,09:45,CEUTA,JCU,-,El vuelo ha despegado a las 09:48,11,17,Lluvia, - , - ,2018-04-13,09:55,ALGECIRAS / HELIPUERTO,AEI,-,El vuelo ha aterrizado a las 09:57,9,16,Chubascos Dispersos,-, - ,2018-04-13 11:41:26
IBB655,ATR-72,2018-04-13,07:55,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 08:06,17,22,Nubosidad Variable,21 - 26,3,2018-04-13,08:30,EL HIERRO,VDE,1,El vuelo ha aterrizado a las 08:43,14,17,Chubascos Dispersos,01,01,2018-04-13 11:40:57
IBE8640,BOMBARDIER CRJ-1000,2018-04-13,08:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 08:48,6,14,Chubascos Dispersos,810 - 859,K93,2018-04-13,09:20,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 10:01,5,17,Lluvia,2,3,2018-04-13 11:41:20
IBE8993,BOMBARDIER CRJ-1000,2018-04-13,09:40,VALENCIA,VLC,1,El vuelo ha despegado a las 09:39,11,21,Nubosidad Variable,1 - 4,R55,2018-04-13,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:24,6,14,Chubascos Dispersos,10,07,2018-04-13 11:40:49
IBE8314,ATR-72,2018-04-13,08:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 08:33,6,14,Chubascos Dispersos,810 - 859,K98,2018-04-13,09:15,SAN SEBASTIAN,EAS,1,El vuelo ha aterrizado a las 09:54,9,15,Lluvia,LLEG,1,2018-04-13 11:41:36
IBE8530,BOMBARDIER CRJ-1000,2018-04-13,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:08,6,14,Chubascos Dispersos,810 - 859,K89,2018-04-13,09:55,PAMPLONA,PNA,T,El vuelo ha aterrizado a las 10:03,5,15,Lluvia Moderada,S1,1,2018-04-13 11:41:07
VLG1419,AIRBUS A320,2018-04-13,09:40,BILBAO,BIO,O,El vuelo ha despegado a las 09:38,7,17,Lluvia,10 - 13,2,2018-04-13,11:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 10:41,12,17,Lluvia Moderada,T1_G,04,2018-04-13 11:40:58
VLG3944,32A,2018-12-04,21:00,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 20:51,12,17,Lluvia,NT,14,2018-04-13,10:45,BILBAO,BIO,O,El vuelo ha despegado a las 10:40,7,17,Lluvia,10 - 13,2,2018-04-13 11:41:21
AEA9461,ATR-72,2018-04-13,08:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 07:59,17,22,Nubosidad Variable,14 - 14,4,2018-04-13,08:45,LA PALMA,SPC,N,El vuelo ha aterrizado a las 08:38,16,21,Cubierto De Nubes Altas Y Medias,LLNT,2,2018-04-13 11:40:49
AEA5001,ATR-72,2018-04-13,09:20,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 09:25,8,16,Chubascos Dispersos,342 - 344,D65,2018-04-13,10:05,MELILLA,MLN,T,El vuelo ha aterrizado a las 10:05,12,18,Chubascos Dispersos,SLL,1,2018-04-13 11:41:58
VLG3283,32A,2018-04-13,06:30,TENERIFE SUR,TFS,T,El vuelo ha despegado a las 06:31,17,22,Nubosidad Variable,21 - 22,19,2018-04-13,09:50,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 09:49,8,16,Chubascos Dispersos,3,35,2018-04-13 11:41:01
VLG2609,AIRBUS A320,2018-04-13,08:50,BILBAO,BIO,O,El vuelo ha despegado a las 08:42,7,17,Lluvia,10 - 13,4,2018-04-13,10:20,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 10:07,8,16,Chubascos Dispersos,3,38,2018-04-13 11:41:40
IBE0931,AIRBUS A321,2018-04-13,09:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:44,12,17,Lluvia Moderada,255 - 264,A02,2018-04-13,11:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,08,2018-04-13 11:40:50
CPA1834,AIRBUS A321,2018-04-13,09:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:44,12,17,Lluvia Moderada,255 - 264,A02,2018-04-13,11:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,08,2018-04-13 11:40:51
VLG9743,AIRBUS A321,2018-04-13,09:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:44,12,17,Lluvia Moderada,255 - 264,A02,2018-04-13,11:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,08,2018-04-13 11:41:10
IBE0931S,AIRBUS A321,2018-04-13,09:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:44,12,17,Lluvia Moderada,902 - 903,A02,2018-04-13,11:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,08,2018-04-13 11:41:11
AAL8668,AIRBUS A321,2018-04-13,09:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:44,12,17,Lluvia Moderada,255 - 259,A02,2018-04-13,11:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 10:50,6,14,Chubascos Dispersos,10,08,2018-04-13 11:41:28
AEA7156,EMBRAER ERJ-195,2018-04-13,08:40,BILBAO,BIO,O,El vuelo ha despegado a las 08:46,7,17,Lluvia,23 - 24,2,2018-04-13,09:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 09:51,6,14,Chubascos Dispersos,06,18,2018-04-13 11:42:41
VLG3929,AIRBUS A320,2018-04-13,08:05,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 09:08,12,17,Lluvia,058 - 060,D82,2018-04-13,09:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:54,12,17,Lluvia Moderada,T1_G,02,2018-04-13 11:42:42
VLG3903,32B,2018-04-13,08:35,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 09:03,12,17,Lluvia,058 - 060,D86,2018-04-13,09:35,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:47,12,17,Lluvia Moderada,T1_G,03,2018-04-13 11:42:43
VLG3541,AIRBUS A320,2018-04-13,08:35,IBIZA,IBZ,1,El vuelo ha despegado a las 09:03,13,17,Lluvia Débil,67 - 69,06,2018-04-13,09:35,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:48,12,17,Lluvia Moderada,T1_G,04,2018-04-13 11:42:44
VLG2487,AIRBUS A319,2018-04-13,08:35,SAN SEBASTIAN,EAS,1,El vuelo ha despegado a las 09:03,9,15,Lluvia,4 - 5,2,2018-04-13,09:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 10:03,12,17,Lluvia Moderada,T1_G,07,2018-04-13 11:42:48
VLG3713,32A,2018-04-13,08:50,MENORCA,MAH,1,El vuelo ha despegado a las 09:11,12,17,Lluvia Débil,25 - 26,02,2018-04-13,09:45,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 09:52,12,17,Lluvia Moderada,T1_G,06,2018-04-13 11:42:49
VLG1303,32A,2018-04-13,08:35,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 09:04,11,18,Nubosidad Variable,10 - 16,C43,2018-04-13,09:45,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 10:03,12,17,Lluvia Moderada,T1_G,08,2018-04-13 11:42:50
IBE8594,BOMBARDIER CRJ-1000,2018-04-13,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:00,6,14,Chubascos Dispersos,810 - 859,K95,2018-04-13,10:10,ALMERIA,LEI,1,El vuelo ha aterrizado a las 10:09,8,17,Chubascos Dispersos,1,1,2018-04-13 11:42:55
IBE8986,CANADAIR CRJ-900,2018-04-13,08:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:19,6,14,Chubascos Dispersos,810 - 859,K84,2018-04-13,09:45,VALENCIA,VLC,1,El vuelo ha aterrizado a las 10:12,11,21,Nubosidad Variable,2,3,2018-04-13 11:41:48
RYR7223,BOEING 737-800 WINGLETS,2018-04-13,08:30,SANTIAGO,SCQ,T,El vuelo ha despegado a las 08:30,10,15,Chubascos Dispersos,23 - 24,11,2018-04-13,10:00,VALENCIA,VLC,1,El vuelo ha aterrizado a las 10:03,11,21,Nubosidad Variable,3,8,2018-04-13 11:41:52
IBE8935,CANADAIR CRJ-900,2018-04-13,09:00,BILBAO,BIO,O,El vuelo ha despegado a las 08:55,7,17,Lluvia,16 - 18,12,2018-04-13,10:25,VALENCIA,VLC,1,El vuelo ha aterrizado a las 10:00,11,21,Nubosidad Variable,1,2,2018-04-13 11:41:59
VLG1312,AIRBUS A320,2018-04-13,08:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 08:47,12,17,Lluvia Moderada,501 - 514,B47,2018-04-13,10:05,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:50,11,18,Nubosidad Variable,NT1,9B,2018-04-13 11:43:14
VLG1670,32A,2018-04-13,07:50,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 07:58,12,17,Lluvia Moderada,501 - 514,B41,2018-04-13,09:40,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 09:40,10,15,Chubascos Dispersos,B,1,2018-04-13 11:42:09
RYR5315,BOEING 737-800 WINGLETS,2018-04-13,08:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 08:40,6,14,Chubascos Dispersos,357 - 360,C40,2018-04-13,09:55,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 09:50,10,15,Chubascos Dispersos,B,3,2018-04-13 11:42:10
VLG3980,AIRBUS A320,2018-12-04,23:45,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 23:39,10,15,Chubascos Dispersos,B,1,2018-04-13,09:15,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 09:09,12,17,Lluvia,058 - 060,D90,2018-04-13 11:42:11
VLG2251,32B,2018-04-13,10:00,SEVILLA,SVQ,1,El vuelo ha despegado a las 10:08,8,17,Lluvia,M26 - M33,4,2018-04-13,11:35,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado,12,17,Lluvia Moderada,T1_G,06,2018-04-13 11:41:14
IBB504,ATR-72,2018-04-13,08:15,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 08:18,16,21,Cubierto De Nubes Altas Y Medias,103 - 108,A15,2018-04-13,09:00,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 08:56,17,22,Nubosidad Variable,4,C2,2018-04-13 11:43:21
IBB236,ATR-72,2018-04-13,08:15,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 08:16,16,21,Cubierto De Nubes Altas Y Medias,103 - 108,A08,2018-04-13,08:55,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 08:51,16,22,Nubosidad Variable,A,14,2018-04-13 11:41:08
VLG3714,AIRBUS A320,2018-04-13,09:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 09:42,12,17,Lluvia Moderada,501 - 514,B40,2018-04-13,10:35,MENORCA,MAH,1,El vuelo ha aterrizado a las 10:27,12,17,Lluvia Débil,1,06,2018-04-13 11:43:45
